"","ID","Block","suillus","fert","grav_moist","priority"
"1",1,1,1,"C",0.233238231,0
"4",4,1,0,"N3",0.193533271,1
"5",5,1,0,"C",0.240768095,1
"7",7,1,1,"N3",0.213090909,0
"11",11,1,0,"C",0.130038388,1
"12",12,1,1,"N3",0.186303387,0
"14",14,1,0,"N3",0.151216686,0
"17",17,2,1,"N3",0.108716475,0
"18",18,2,1,"C",0.164402174,1
"20",20,2,0,"N3",0.174582798,1
"23",23,2,1,"C",0.083936324,0
"24",24,2,1,"N3",0.162771285,0
"27",27,2,0,"C",0.197729423,0
"28",28,2,0,"C",0.161073826,1
"29",29,2,0,"N3",0.172348485,1
"36",36,3,1,"C",0.155162578,1
"38",38,3,0,"N3",0.219438878,0
"41",41,3,1,"N3",0.13442623,1
"43",43,3,0,"C",0.205145119,1
"44",44,3,0,"N3",0.133540373,0
"45",45,3,0,"C",0.200878156,1
"46",46,3,1,"C",0.16731953,0
"47",47,3,1,"N3",0.163120567,1
"49",49,4,0,"C",0.0768,0
"50",50,4,0,"C",0.118935165,0
"54",54,4,0,"N3",0.148001757,1
"57",57,4,1,"N3",0.203872437,1
"61",61,4,0,"N3",0.197644649,1
"62",62,4,1,"C",0.201,0
"63",63,4,1,"C",0.16925549,1
"67",67,5,1,"N3",0.152387181,0
"68",68,5,1,"C",0.195804196,1
"72",72,5,0,"C",0.148456057,0
"75",75,5,0,"N3",0.192550505,1
"79",79,5,0,"N3",0.156005222,0
"80",80,5,1,"N3",0.084801044,1
"83",83,6,0,"C",0.214765101,0
"85",85,6,1,"N3",0.166439291,1
"89",89,6,1,"N3",0.166300768,0
"90",90,6,0,"N3",0.181681682,0
"95",95,6,1,"C",0.191198786,0
"96",96,6,1,"C",0.168239867,0
"97",97,7,0,"C",0.089498189,0
"98",98,7,1,"N3",0.155201819,1
"99",99,7,1,"N3",0.184903452,0
"100",100,7,0,"N3",0.171052632,0
"102",102,7,1,"C",0.170285714,0
"108",108,7,1,"C",0.220364742,1
"111",111,7,0,"C",0.155956407,1
"112",112,7,0,"N3",0.075805719,0
"115",115,8,1,"N3",0.132370638,0
"118",118,8,0,"N3",0.11407767,0
"120",120,8,1,"C",0.145386766,1
