"","ID","Block","suillus","fert","grav_moist"
"1",1,1,1,"C",0.233238231
"4",4,1,0,"N3",0.193533271
"5",5,1,0,"C",0.240768095
"12",12,1,1,"N3",0.186303387
"20",20,2,0,"N3",0.174582798
"28",28,2,0,"C",0.161073826
"29",29,2,0,"N3",0.172348485
"36",36,3,1,"C",0.155162578
"41",41,3,1,"N3",0.13442623
"44",44,3,0,"N3",0.133540373
"45",45,3,0,"C",0.200878156
"57",57,4,1,"N3",0.203872437
"61",61,4,0,"N3",0.197644649
"68",68,5,1,"C",0.195804196
"72",72,5,0,"C",0.148456057
"80",80,5,1,"N3",0.084801044
"85",85,6,1,"N3",0.166439291
"97",97,7,0,"C",0.089498189
"108",108,7,1,"C",0.220364742
"120",120,8,1,"C",0.145386766
