"","ID","block","nitrogen","pom","suillus","co2","rando"
"1",1,"Block_1",1,1,0,0,0.00176877435296774
"2",2,"Block_1",1,0,1,0,0.0991813414730132
"3",3,"Block_1",0,0,0,0,0.137176489457488
"4",4,"Block_1",0,1,1,0,0.278282075189054
"5",5,"Block_1",0,0,1,0,0.415772850392386
"6",6,"Block_1",1,0,1,0,0.441392321372405
"7",7,"Block_1",0,0,0,0,0.548789592692629
"8",8,"Block_1",0,1,0,0,0.552428417140618
"9",9,"Block_1",1,0,0,0,0.569971928372979
"10",10,"Block_1",1,0,0,0,0.729025218868628
"11",11,"Block_1",0,0,1,0,0.81610398972407
"12",12,"Block_1",0,1,0,0,0.850732223130763
"13",13,"Block_1",1,1,1,0,0.852905088337138
"14",14,"Block_1",0,1,1,0,0.854826960014179
"15",15,"Block_1",1,1,1,0,0.85965315811336
"16",16,"Block_1",1,1,0,0,0.95081126014702
"17",17,"Block_2",0,0,1,0,0.0129035573918372
"18",18,"Block_2",1,0,1,0,0.0882390928454697
"19",19,"Block_2",1,1,1,0,0.116213131230325
"20",20,"Block_2",0,1,0,0,0.121776637621224
"21",21,"Block_2",1,1,0,0,0.279621450696141
"22",22,"Block_2",0,1,0,0,0.292106601875275
"23",23,"Block_2",1,1,1,0,0.35572762764059
"24",24,"Block_2",1,0,0,0,0.530890377238393
"25",25,"Block_2",1,0,1,0,0.665505656506866
"26",26,"Block_2",1,1,0,0,0.70436007482931
"27",27,"Block_2",0,1,1,0,0.776254510506988
"28",28,"Block_2",0,0,0,0,0.85875522880815
"29",29,"Block_2",0,0,0,0,0.898428649175912
"30",30,"Block_2",0,0,1,0,0.969489719951525
"31",31,"Block_2",0,1,1,0,0.972926128655672
"32",32,"Block_2",1,0,0,0,0.985443696146831
"33",33,"Block_3",1,0,0,0,0.137869588332251
"34",34,"Block_3",0,1,0,0,0.191412058658898
"35",35,"Block_3",0,1,1,0,0.276255950098857
"36",36,"Block_3",1,0,0,0,0.350387678248808
"37",37,"Block_3",1,1,0,0,0.417797278147191
"38",38,"Block_3",1,1,1,0,0.487591385375708
"39",39,"Block_3",1,0,1,0,0.525413806550205
"40",40,"Block_3",0,0,1,0,0.554979843087494
"41",41,"Block_3",0,0,0,0,0.7717038707342
"42",42,"Block_3",0,0,0,0,0.816852171672508
"43",43,"Block_3",1,1,1,0,0.836296215187758
"44",44,"Block_3",1,1,0,0,0.860573585610837
"45",45,"Block_3",0,0,1,0,0.862802385352552
"46",46,"Block_3",0,1,1,0,0.928813242353499
"47",47,"Block_3",0,1,0,0,0.967837492469698
"48",48,"Block_3",1,0,1,0,0.995255806017667
"49",49,"Block_4",1,0,1,0,0.0629817764274776
"50",50,"Block_4",0,1,0,0,0.238025734201074
